jour,heure,prix_24,echantillons
11/09/2026,01:08:18,2.304,5629
11/09/2026,01:08:21,2.304,5629
11/09/2026,01:08:47,2.304,5629
11/09/2026,01:09:35,2.304,5629
11/09/2026,01:31:45,2.304,5629
11/09/2026,01:32:01,2.304,5629
11/09/2026,01:42:36,2.304,5629
11/09/2026,01:42:52,2.304,5635
11/09/2026,01:43:08,2.304,5629
11/09/2026,01:43:24,2.304,5635
11/09/2026,01:43:40,2.304,5635
11/09/2026,01:43:56,2.304,5635
11/09/2026,01:44:12,2.304,5635
11/09/2026,01:46:48,2.304,5635
11/09/2026,01:47:49,2.304,5635
11/09/2026,01:48:50,2.304,5635
11/09/2026,01:49:51,2.304,5635
11/09/2026,01:50:52,2.304,5635
11/09/2026,01:51:53,2.304,5635
11/09/2026,01:52:54,2.304,5635
11/09/2026,01:53:55,2.304,5635
11/09/2026,01:54:56,2.304,5635
11/09/2026,01:55:57,2.304,5635
11/09/2026,01:56:58,2.304,5635
11/09/2026,01:57:59,2.304,5635
11/09/2026,01:59:00,2.304,5635
11/09/2026,02:00:01,2.304,5635
11/09/2026,02:01:02,2.304,5635
